cumulative_percentage,,-0.05 | 0.05,-0.1 | -0.05,-0.2 | -0.1,-0.3 | -0.2,-0.5 | -0.3,-0.75 | -0.5,-1 | -0.75,0.05 | 0.1,0.1 | 0.2,0.2 | 0.3,0.3 | 0.5,0.5 | 0.75,0.75 | 1
0.1590639243172852,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1601894973502489,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1603933263480293,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1607067418801719,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1608457697407397,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1609879482219907,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1610745472788275,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.161075036075036,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1614654002713704,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1615942028985507,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1616528202885876,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1617834394904458,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1619396275440189,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1623836334243826,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1628566822505239,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1630170953603296,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.163439332030556,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1638510377603683,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1641943734015345,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1642499949792139,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.164413294144246,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1646212441811257,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1646349287822404,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1647015923179774,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1648846370287,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1652754590984975,0,0,0,0,0,0,0,0,0,0,0,0,0,1
