state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude
FLORIDA,FL,19,DEMOCRAT,172146,1772687.0,1772687.0,296940,0,0,1764,8673,6321,0,147
FLORIDA,FL,19,REPUBLICAN,272440,1772687.0,1772687.0,296940,0,0,1764,8673,6321,0,147
FLORIDA,FL,20,DEMOCRAT,253661,3580203.0,3580203.0,599940,0,0,3564,17523,12771,0,297
FLORIDA,FL,20,REPUBLICAN,68748,3580203.0,3580203.0,599940,0,0,3564,17523,12771,0,297
FLORIDA,FL,21,DEMOCRAT,237925,4972689.0,4972689.0,830220,0,0,4932,24249,17673,0,411
FLORIDA,FL,21,REPUBLICAN,157612,4972689.0,4972689.0,830220,0,0,4932,24249,17673,0,411
FLORIDA,FL,22,DEMOCRAT,235764,3260173.0,3260173.0,547420,0,0,3252,15989,11653,0,271
FLORIDA,FL,22,REPUBLICAN,166553,3260173.0,3260173.0,547420,0,0,3252,15989,11653,0,271
FLORIDA,FL,23,DEMOCRAT,221239,2800213.0,2800213.0,470660,0,0,2796,13747,10019,0,233
FLORIDA,FL,23,REPUBLICAN,158874,2800213.0,2800213.0,470660,0,0,2796,13747,10019,0,233
FLORIDA,FL,24,DEMOCRAT,218825,3284917.0,3284917.0,549440,0,0,3264,16048,11696,0,272
FLORIDA,FL,24,REPUBLICAN,59084,3284917.0,3284917.0,549440,0,0,3264,16048,11696,0,272
FLORIDA,FL,26,DEMOCRAT,165401,2997361.0,2997361.0,500960,0,0,2976,14632,10664,0,248
