,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
173,ARKANSAS,AR,5023.0,REPUBLICAN,11711,11711,11711,11711,1.0
174,ARKANSAS,AR,5025.0,DEMOCRAT,581,3551,3551,10653,0.16361588284990145
175,ARKANSAS,AR,5025.0,LIBERTARIAN,77,3551,3551,10653,0.021684032666854407
176,ARKANSAS,AR,5025.0,REPUBLICAN,2893,3551,3551,10653,0.8147000844832442
177,ARKANSAS,AR,5027.0,DEMOCRAT,2700,8456,8456,25368,0.3192999053926206
178,ARKANSAS,AR,5027.0,LIBERTARIAN,165,8456,8456,25368,0.019512771996215705
179,ARKANSAS,AR,5027.0,REPUBLICAN,5591,8456,8456,25368,0.6611873226111636
180,ARKANSAS,AR,5029.0,DEMOCRAT,2822,8672,8672,17344,0.3254151291512915
181,ARKANSAS,AR,5029.0,REPUBLICAN,5850,8672,8672,17344,0.6745848708487084
182,ARKANSAS,AR,5031.0,REPUBLICAN,34368,34368,34368,34368,1.0
183,ARKANSAS,AR,5033.0,DEMOCRAT,4571,24031,24031,72093,0.19021264200407806
184,ARKANSAS,AR,5033.0,LIBERTARIAN,833,24031,24031,72093,0.03466355956889018
185,ARKANSAS,AR,5033.0,REPUBLICAN,18627,24031,24031,72093,0.7751237984270317
186,ARKANSAS,AR,5035.0,REPUBLICAN,12315,12315,12315,12315,1.0
187,ARKANSAS,AR,5037.0,REPUBLICAN,6189,6189,6189,6189,1.0
188,ARKANSAS,AR,5039.0,DEMOCRAT,928,2601,2601,7803,0.35678585159554016
189,ARKANSAS,AR,5039.0,LIBERTARIAN,58,2601,2601,7803,0.02229911572472126
190,ARKANSAS,AR,5039.0,REPUBLICAN,1615,2601,2601,7803,0.6209150326797386
191,ARKANSAS,AR,5041.0,REPUBLICAN,3161,3161,3161,3161,1.0
192,ARKANSAS,AR,5043.0,DEMOCRAT,2221,6838,6838,20514,0.3248025738520035
193,ARKANSAS,AR,5043.0,LIBERTARIAN,170,6838,6838,20514,0.024861070488446914
194,ARKANSAS,AR,5043.0,REPUBLICAN,4447,6838,6838,20514,0.6503363556595496
195,ARKANSAS,AR,5045.0,DEMOCRAT,19017,54296,54296,108592,0.3502467953440401
196,ARKANSAS,AR,5045.0,REPUBLICAN,35279,54296,54296,108592,0.6497532046559599
197,ARKANSAS,AR,5047.0,DEMOCRAT,1171,7040,7040,21120,0.16633522727272726
198,ARKANSAS,AR,5047.0,LIBERTARIAN,180,7040,7040,21120,0.02556818181818182
199,ARKANSAS,AR,5047.0,REPUBLICAN,5689,7040,7040,21120,0.8080965909090909
200,ARKANSAS,AR,5049.0,REPUBLICAN,4522,4522,4522,4522,1.0
201,ARKANSAS,AR,5051.0,DEMOCRAT,11800,43975,43975,131925,0.26833428084138716
202,ARKANSAS,AR,5051.0,LIBERTARIAN,1428,43975,43975,131925,0.032472996020466174
203,ARKANSAS,AR,5051.0,REPUBLICAN,30747,43975,43975,131925,0.6991927231381466
204,ARKANSAS,AR,5053.0,DEMOCRAT,1112,8139,8139,24417,0.13662612114510383
205,ARKANSAS,AR,5053.0,LIBERTARIAN,264,8139,8139,24417,0.03243641725027645
206,ARKANSAS,AR,5053.0,REPUBLICAN,6763,8139,8139,24417,0.8309374616046198
207,ARKANSAS,AR,5055.0,REPUBLICAN,15064,15064,15064,15064,1.0
208,ARKANSAS,AR,5057.0,DEMOCRAT,2094,6770,6770,20310,0.30930576070901034
209,ARKANSAS,AR,5057.0,LIBERTARIAN,148,6770,6770,20310,0.02186115214180207
210,ARKANSAS,AR,5057.0,REPUBLICAN,4528,6770,6770,20310,0.6688330871491875
211,ARKANSAS,AR,5059.0,DEMOCRAT,2812,12488,12488,37464,0.22517616912235747
212,ARKANSAS,AR,5059.0,LIBERTARIAN,360,12488,12488,37464,0.028827674567584883
213,ARKANSAS,AR,5059.0,REPUBLICAN,9316,12488,12488,37464,0.7459961563100577
