state,state_po,county_fips,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
COLORADO,CO,8101.0,86882,347528,347528,1390112,-0.002348012246495279
COLORADO,CO,8103.0,3640,14560,14560,58240,0.6719780219780219
COLORADO,CO,8105.0,6207,24828,24828,99312,0.18350249718060258
COLORADO,CO,8107.0,16593,66372,66372,265488,-0.26173687699632375
COLORADO,CO,8109.0,3287,13148,13148,52592,-0.15089747490112565
COLORADO,CO,8111.0,543,2172,2172,8688,-0.2228360957642726
COLORADO,CO,8113.0,5052,20208,20208,80832,-0.5087094220110847
COLORADO,CO,8115.0,1407,5628,5628,22512,0.6318407960199005
COLORADO,CO,8117.0,17858,71432,71432,285728,-0.34981520886997425
COLORADO,CO,8119.0,16614,83070,83070,415350,0.39514866979655716
COLORADO,CO,8121.0,2973,11892,11892,47568,0.7726202489068281
COLORADO,CO,8123.0,162240,648960,648960,2595840,0.2534763313609467
COLORADO,CO,8125.0,4872,19488,19488,77952,0.7261904761904762
CONNECTICUT,CT,9001.0,461078,1383234,1383234,4149702,-0.2364111929001167
CONNECTICUT,CT,9003.0,433795,1335128,1735180,5340512,-0.2573773326110259
CONNECTICUT,CT,9005.0,104720,314160,314160,942480,0.05566271963330793
CONNECTICUT,CT,9007.0,96753,342529,387012,1370116,-0.15414509110828606
CONNECTICUT,CT,9009.0,407457,1234593,1629828,4938372,-0.1565833940759393
CONNECTICUT,CT,9011.0,135512,542048,542048,2168192,-0.2618882460593896
CONNECTICUT,CT,9013.0,78543,314172,314172,1256688,-0.17386654444062483
CONNECTICUT,CT,9015.0,54882,219528,219528,878112,-0.060930724098975986
DELAWARE,DE,10001.0,84622,338488,338488,1353952,-0.040155042423955956
DELAWARE,DE,10003.0,278004,1112016,1112016,4448064,-0.34803815772434926
DELAWARE,DE,10005.0,125644,502576,502576,2010304,0.12069020406863834
DISTRICT OF COLUMBIA,DC,11001.0,324324,972972,972972,2918916,-0.8689797856464523
FLORIDA,FL,12001.0,139771,279542,279542,559084,-0.2428472286812
FLORIDA,FL,12003.0,13805,27610,27610,55220,0.6412893879029338
FLORIDA,FL,12005.0,76997,76997,76997,76997,1.0
FLORIDA,FL,12007.0,13267,26534,26534,53068,0.5022235622220548
FLORIDA,FL,12009.0,355455,710910,710910,1421820,0.21357696473533916
FLORIDA,FL,12011.0,931208,1862416,1862416,3724832,-0.3070957294181322
FLORIDA,FL,12013.0,5662,5662,5662,5662,1.0
FLORIDA,FL,12015.0,112442,224884,224884,449768,0.3128368403265684
FLORIDA,FL,12017.0,91109,182218,182218,364436,0.4113424579350009
FLORIDA,FL,12019.0,122261,244522,244522,489044,0.3777247037076419
FLORIDA,FL,12021.0,105839,211678,211678,423356,0.30815672861610555
FLORIDA,FL,12023.0,28084,31875,56168,63750,0.8552200541233443
FLORIDA,FL,12027.0,12221,24442,24442,48884,0.33720644791751897
FLORIDA,FL,12029.0,6993,6993,6993,6993,1.0
FLORIDA,FL,12031.0,485854,971708,971708,1943416,-0.04067888707307138
FLORIDA,FL,12033.0,166660,333320,333320,666640,0.11698067922716904
FLORIDA,FL,12035.0,69603,139206,139206,278412,0.24552102639254053
FLORIDA,FL,12037.0,5220,5220,5220,5220,1.0
FLORIDA,FL,12039.0,23658,47316,47316,94632,-0.4188012511623975
FLORIDA,FL,12041.0,8484,8484,8484,8484,1.0
FLORIDA,FL,12043.0,5004,10008,10008,20016,0.4728217426059153
FLORIDA,FL,12045.0,6806,6806,6806,6806,1.0
FLORIDA,FL,12047.0,5712,11424,11424,22848,0.25315126050420167
FLORIDA,FL,12049.0,8193,16386,16386,32772,0.40876357866471374
FLORIDA,FL,12053.0,106415,212830,212830,425660,0.29464831085843163
FLORIDA,FL,12055.0,50347,100694,100694,201388,0.37207778020537474
FLORIDA,FL,12057.0,698573,1397146,1397146,2794292,-0.08426177364427195
FLORIDA,FL,12059.0,8547,14126,17094,28252,0.8626418626418626
FLORIDA,FL,12061.0,95640,191280,191280,382560,0.27676704307820993
FLORIDA,FL,12063.0,18262,18262,18262,18262,1.0
FLORIDA,FL,12065.0,8227,15868,16454,31736,0.0762124711316397
FLORIDA,FL,12067.0,3307,3307,3307,3307,1.0
FLORIDA,FL,12069.0,206461,412922,412922,825844,0.23517758801904476
FLORIDA,FL,12071.0,381100,762200,762200,1524400,0.21140383101548155
FLORIDA,FL,12073.0,129905,212516,259810,425032,0.0618221007659443
FLORIDA,FL,12075.0,18959,18959,18959,18959,1.0
FLORIDA,FL,12077.0,2973,2973,2973,2973,1.0
FLORIDA,FL,12079.0,9251,18502,18502,37004,0.1373905523727164
FLORIDA,FL,12081.0,214770,429540,429540,859080,0.19264329282488246
FLORIDA,FL,12083.0,191073,357258,382146,714516,0.36003516980421096
FLORIDA,FL,12085.0,96079,192158,192158,384316,0.35043037500390306
FLORIDA,FL,12086.0,915878,1831756,1831756,3663512,-0.14005358792328232
FLORIDA,FL,12087.0,46937,93874,93874,187748,0.08852291369282228
FLORIDA,FL,12089.0,58270,116540,116540,233080,0.44310966191865453
FLORIDA,FL,12091.0,113001,226002,226002,452004,0.38113822001575204
FLORIDA,FL,12093.0,15211,30422,30422,60844,0.4571034120044704
FLORIDA,FL,12095.0,634332,1268664,1268664,2537328,-0.25311666445962056
FLORIDA,FL,12097.0,168903,337806,337806,675612,-0.22137558243488864
FLORIDA,FL,12099.0,746749,1493498,1493498,2986996,-0.13761384347350986
FLORIDA,FL,12101.0,297546,595092,595092,1190184,0.26963225854153644
FLORIDA,FL,12103.0,552950,1105900,1105900,2211800,0.017122705488742174
FLORIDA,FL,12105.0,335780,671560,671560,1343120,0.14102090654595267
FLORIDA,FL,12107.0,35751,71502,71502,143004,0.39386310872423147
FLORIDA,FL,12109.0,173868,347736,347736,695472,0.28201854280258587
FLORIDA,FL,12111.0,166909,333818,333818,667636,0.06259099269661911
FLORIDA,FL,12113.0,104558,209116,209116,418232,0.43604506589644026
FLORIDA,FL,12115.0,264863,529726,529726,1059452,0.14584521054280897
FLORIDA,FL,12117.0,251777,503554,503554,1007108,-0.051057086231069526
FLORIDA,FL,12119.0,90634,181268,181268,362536,0.4087649226559569
FLORIDA,FL,12121.0,17971,17971,17971,17971,1.0
FLORIDA,FL,12123.0,8541,8541,8541,8541,1.0
FLORIDA,FL,12125.0,6113,12226,12226,24452,0.6234254866677573
FLORIDA,FL,12127.0,296839,593678,593678,1187356,0.1783761567718527
FLORIDA,FL,12129.0,14514,14514,14514,14514,1.0
FLORIDA,FL,12131.0,42726,85452,85452,170904,0.5059682628844264
FLORIDA,FL,12133.0,10619,10619,10619,10619,1.0
GEORGIA,GA,13001.0,8025,16050,16050,32100,0.578816199376947
GEORGIA,GA,13003.0,2905,5810,5810,11620,0.5153184165232358
GEORGIA,GA,13005.0,4464,8928,8928,17856,0.7517921146953406
GEORGIA,GA,13007.0,1516,3032,3032,6064,-0.029023746701846986
GEORGIA,GA,13009.0,17734,35468,35468,70936,0.026389985338897082
GEORGIA,GA,13011.0,8579,17158,17158,34316,0.7906515910945331
GEORGIA,GA,13013.0,36901,73802,73802,147604,0.4614780087260508
GEORGIA,GA,13015.0,49544,99088,99088,198176,0.5349588244792507
GEORGIA,GA,13017.0,6393,12786,12786,25572,0.30392616924761456
GEORGIA,GA,13019.0,7496,14992,14992,29984,0.6939701173959445
GEORGIA,GA,13021.0,69335,138670,138670,277340,-0.24044133554481867
GEORGIA,GA,13023.0,5588,11176,11176,22352,0.5558339298496779
GEORGIA,GA,13025.0,7411,14822,14822,29644,0.8213466468762649
GEORGIA,GA,13027.0,6829,13658,13658,27316,0.23795577683408986
GEORGIA,GA,13029.0,20902,41804,41804,83608,0.41297483494402454
GEORGIA,GA,13031.0,29502,59004,59004,118008,0.27537116127720157
GEORGIA,GA,13033.0,10432,20864,20864,41728,0.049271472392638016
GEORGIA,GA,13035.0,11432,22864,22864,45728,0.45556333100069984
GEORGIA,GA,13037.0,2159,4318,4318,8636,-0.35710977304307545
GEORGIA,GA,13039.0,22935,45870,45870,91740,0.32722912579027685
GEORGIA,GA,13043.0,4319,8638,8638,17276,0.4558925677240102
GEORGIA,GA,13045.0,53072,106144,106144,212288,0.4332981609888453
GEORGIA,GA,13047.0,31442,62884,62884,125768,0.5753450798295274
GEORGIA,GA,13049.0,4345,8690,8690,17380,0.5461449942462602
