,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY
288,Montrose,Colorado,08085,CO,CO | MONTROSE
289,Morgan,Colorado,08087,CO,CO | MORGAN
290,Otero,Colorado,08089,CO,CO | OTERO
291,Ouray,Colorado,08091,CO,CO | OURAY
292,Park,Colorado,08093,CO,CO | PARK
293,Phillips,Colorado,08095,CO,CO | PHILLIPS
294,Pitkin,Colorado,08097,CO,CO | PITKIN
295,Prowers,Colorado,08099,CO,CO | PROWERS
296,Pueblo,Colorado,08101,CO,CO | PUEBLO
297,Rio Blanco,Colorado,08103,CO,CO | RIO BLANCO
298,Rio Grande,Colorado,08105,CO,CO | RIO GRANDE
299,Routt,Colorado,08107,CO,CO | ROUTT
300,Saguache,Colorado,08109,CO,CO | SAGUACHE
301,San Juan,Colorado,08111,CO,CO | SAN JUAN
302,San Miguel,Colorado,08113,CO,CO | SAN MIGUEL
303,Sedgwick,Colorado,08115,CO,CO | SEDGWICK
304,Summit,Colorado,08117,CO,CO | SUMMIT
305,Teller,Colorado,08119,CO,CO | TELLER
306,Washington,Colorado,08121,CO,CO | WASHINGTON
307,Weld,Colorado,08123,CO,CO | WELD
308,Yuma,Colorado,08125,CO,CO | YUMA
309,Fairfield,Connecticut,09001,CT,CT | FAIRFIELD
310,Hartford,Connecticut,09003,CT,CT | HARTFORD
311,Litchfield,Connecticut,09005,CT,CT | LITCHFIELD
312,Middlesex,Connecticut,09007,CT,CT | MIDDLESEX
313,New Haven,Connecticut,09009,CT,CT | NEW HAVEN
314,New London,Connecticut,09011,CT,CT | NEW LONDON
315,Tolland,Connecticut,09013,CT,CT | TOLLAND
316,Windham,Connecticut,09015,CT,CT | WINDHAM
317,Kent,Delaware,10001,DE,DE | KENT
318,New Castle,Delaware,10003,DE,DE | NEW CASTLE
319,Sussex,Delaware,10005,DE,DE | SUSSEX
320,District of Columbia,District of Columbia,11001,DC,DC | DISTRICT OF COLUMBIA
321,Alachua,Florida,12001,FL,FL | ALACHUA
322,Baker,Florida,12003,FL,FL | BAKER
323,Bay,Florida,12005,FL,FL | BAY
324,Bradford,Florida,12007,FL,FL | BRADFORD
325,Brevard,Florida,12009,FL,FL | BREVARD
326,Broward,Florida,12011,FL,FL | BROWARD
327,Calhoun,Florida,12013,FL,FL | CALHOUN
328,Charlotte,Florida,12015,FL,FL | CHARLOTTE
329,Citrus,Florida,12017,FL,FL | CITRUS
330,Clay,Florida,12019,FL,FL | CLAY
331,Collier,Florida,12021,FL,FL | COLLIER
332,Columbia,Florida,12023,FL,FL | COLUMBIA
333,DeSoto,Florida,12027,FL,FL | DESOTO
334,Dixie,Florida,12029,FL,FL | DIXIE
335,Duval,Florida,12031,FL,FL | DUVAL
336,Escambia,Florida,12033,FL,FL | ESCAMBIA
337,Flagler,Florida,12035,FL,FL | FLAGLER
338,Franklin,Florida,12037,FL,FL | FRANKLIN
339,Gadsden,Florida,12039,FL,FL | GADSDEN
340,Gilchrist,Florida,12041,FL,FL | GILCHRIST
341,Glades,Florida,12043,FL,FL | GLADES
342,Gulf,Florida,12045,FL,FL | GULF
343,Hamilton,Florida,12047,FL,FL | HAMILTON
344,Hardee,Florida,12049,FL,FL | HARDEE
345,Hendry,Florida,12051,FL,FL | HENDRY
346,Hernando,Florida,12053,FL,FL | HERNANDO
347,Highlands,Florida,12055,FL,FL | HIGHLANDS
348,Hillsborough,Florida,12057,FL,FL | HILLSBOROUGH
349,Holmes,Florida,12059,FL,FL | HOLMES
350,Indian River,Florida,12061,FL,FL | INDIAN RIVER
351,Jackson,Florida,12063,FL,FL | JACKSON
352,Jefferson,Florida,12065,FL,FL | JEFFERSON
353,Lafayette,Florida,12067,FL,FL | LAFAYETTE
354,Lake,Florida,12069,FL,FL | LAKE
355,Lee,Florida,12071,FL,FL | LEE
356,Leon,Florida,12073,FL,FL | LEON
357,Levy,Florida,12075,FL,FL | LEVY
358,Liberty,Florida,12077,FL,FL | LIBERTY
359,Madison,Florida,12079,FL,FL | MADISON
360,Manatee,Florida,12081,FL,FL | MANATEE
361,Marion,Florida,12083,FL,FL | MARION
362,Martin,Florida,12085,FL,FL | MARTIN
363,Miami-Dade,Florida,12086,FL,FL | MIAMI-DADE
364,Monroe,Florida,12087,FL,FL | MONROE
365,Nassau,Florida,12089,FL,FL | NASSAU
366,Okaloosa,Florida,12091,FL,FL | OKALOOSA
367,Okeechobee,Florida,12093,FL,FL | OKEECHOBEE
368,Orange,Florida,12095,FL,FL | ORANGE
369,Osceola,Florida,12097,FL,FL | OSCEOLA
370,Palm Beach,Florida,12099,FL,FL | PALM BEACH
371,Pasco,Florida,12101,FL,FL | PASCO
372,Pinellas,Florida,12103,FL,FL | PINELLAS
373,Polk,Florida,12105,FL,FL | POLK
374,Putnam,Florida,12107,FL,FL | PUTNAM
375,St. Johns,Florida,12109,FL,FL | ST. JOHNS
376,St. Lucie,Florida,12111,FL,FL | ST. LUCIE
377,Santa Rosa,Florida,12113,FL,FL | SANTA ROSA
378,Sarasota,Florida,12115,FL,FL | SARASOTA
379,Seminole,Florida,12117,FL,FL | SEMINOLE
380,Sumter,Florida,12119,FL,FL | SUMTER
381,Suwannee,Florida,12121,FL,FL | SUWANNEE
382,Taylor,Florida,12123,FL,FL | TAYLOR
383,Union,Florida,12125,FL,FL | UNION
384,Volusia,Florida,12127,FL,FL | VOLUSIA
385,Wakulla,Florida,12129,FL,FL | WAKULLA
386,Walton,Florida,12131,FL,FL | WALTON
387,Washington,Florida,12133,FL,FL | WASHINGTON
388,Appling,Georgia,13001,GA,GA | APPLING
389,Atkinson,Georgia,13003,GA,GA | ATKINSON
390,Bacon,Georgia,13005,GA,GA | BACON
391,Baker,Georgia,13007,GA,GA | BAKER
392,Baldwin,Georgia,13009,GA,GA | BALDWIN
393,Banks,Georgia,13011,GA,GA | BANKS
394,Barrow,Georgia,13013,GA,GA | BARROW
395,Bartow,Georgia,13015,GA,GA | BARTOW
396,Ben Hill,Georgia,13017,GA,GA | BEN HILL
397,Berrien,Georgia,13019,GA,GA | BERRIEN
398,Bibb,Georgia,13021,GA,GA | BIBB
399,Bleckley,Georgia,13023,GA,GA | BLECKLEY
400,Brantley,Georgia,13025,GA,GA | BRANTLEY
401,Brooks,Georgia,13027,GA,GA | BROOKS
402,Bryan,Georgia,13029,GA,GA | BRYAN
403,Bulloch,Georgia,13031,GA,GA | BULLOCH
404,Burke,Georgia,13033,GA,GA | BURKE
405,Butts,Georgia,13035,GA,GA | BUTTS
406,Calhoun,Georgia,13037,GA,GA | CALHOUN
407,Camden,Georgia,13039,GA,GA | CAMDEN
408,Candler,Georgia,13043,GA,GA | CANDLER
409,Carroll,Georgia,13045,GA,GA | CARROLL
410,Catoosa,Georgia,13047,GA,GA | CATOOSA
411,Charlton,Georgia,13049,GA,GA | CHARLTON
412,Chatham,Georgia,13051,GA,GA | CHATHAM
413,Chattahoochee,Georgia,13053,GA,GA | CHATTAHOOCHEE
414,Chattooga,Georgia,13055,GA,GA | CHATTOOGA
415,Cherokee,Georgia,13057,GA,GA | CHEROKEE
416,Clarke,Georgia,13059,GA,GA | CLARKE
417,Clay,Georgia,13061,GA,GA | CLAY
418,Clayton,Georgia,13063,GA,GA | CLAYTON
419,Clinch,Georgia,13065,GA,GA | CLINCH
420,Cobb,Georgia,13067,GA,GA | COBB
421,Coffee,Georgia,13069,GA,GA | COFFEE
422,Colquitt,Georgia,13071,GA,GA | COLQUITT
423,Columbia,Georgia,13073,GA,GA | COLUMBIA
424,Cook,Georgia,13075,GA,GA | COOK
425,Coweta,Georgia,13077,GA,GA | COWETA
426,Crawford,Georgia,13079,GA,GA | CRAWFORD
427,Crisp,Georgia,13081,GA,GA | CRISP
428,Dade,Georgia,13083,GA,GA | DADE
429,Dawson,Georgia,13085,GA,GA | DAWSON
430,Decatur,Georgia,13087,GA,GA | DECATUR
431,DeKalb,Georgia,13089,GA,GA | DEKALB
432,Dodge,Georgia,13091,GA,GA | DODGE
433,Dooly,Georgia,13093,GA,GA | DOOLY
434,Dougherty,Georgia,13095,GA,GA | DOUGHERTY
435,Douglas,Georgia,13097,GA,GA | DOUGLAS
436,Early,Georgia,13099,GA,GA | EARLY
437,Echols,Georgia,13101,GA,GA | ECHOLS
438,Effingham,Georgia,13103,GA,GA | EFFINGHAM
439,Elbert,Georgia,13105,GA,GA | ELBERT
440,Emanuel,Georgia,13107,GA,GA | EMANUEL
441,Evans,Georgia,13109,GA,GA | EVANS
442,Fannin,Georgia,13111,GA,GA | FANNIN
443,Fayette,Georgia,13113,GA,GA | FAYETTE
444,Floyd,Georgia,13115,GA,GA | FLOYD
445,Forsyth,Georgia,13117,GA,GA | FORSYTH
446,Franklin,Georgia,13119,GA,GA | FRANKLIN
447,Fulton,Georgia,13121,GA,GA | FULTON
448,Gilmer,Georgia,13123,GA,GA | GILMER
449,Glascock,Georgia,13125,GA,GA | GLASCOCK
450,Glynn,Georgia,13127,GA,GA | GLYNN
451,Gordon,Georgia,13129,GA,GA | GORDON
452,Grady,Georgia,13131,GA,GA | GRADY
453,Greene,Georgia,13133,GA,GA | GREENE
454,Gwinnett,Georgia,13135,GA,GA | GWINNETT
455,Habersham,Georgia,13137,GA,GA | HABERSHAM
456,Hall,Georgia,13139,GA,GA | HALL
457,Hancock,Georgia,13141,GA,GA | HANCOCK
458,Haralson,Georgia,13143,GA,GA | HARALSON
459,Harris,Georgia,13145,GA,GA | HARRIS
460,Hart,Georgia,13147,GA,GA | HART
461,Heard,Georgia,13149,GA,GA | HEARD
