,state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,votePercentage
85,CALIFORNIA,CA,24,REPUBLICAN,149781,4416762.0,4416762.0,1466520,0,0,4356,67518,51546,726,726,362345,0.41336571499537733
86,CALIFORNIA,CA,25,DEMOCRAT,169305,5393588.0,5393588.0,1801840,0,0,5352,82956,63332,892,892,338943,0.4995087669608164
87,CALIFORNIA,CA,25,REPUBLICAN,169638,5393588.0,5393588.0,1801840,0,0,5352,82956,63332,892,892,338943,0.5004912330391835
88,CALIFORNIA,CA,26,DEMOCRAT,208856,7527864.0,7527864.0,2488640,0,0,7392,114576,87472,1232,1232,344733,0.6058485842666643
89,CALIFORNIA,CA,26,REPUBLICAN,135877,7527864.0,7527864.0,2488640,0,0,7392,114576,87472,1232,1232,344733,0.3941514157333357
90,CALIFORNIA,CA,27,DEMOCRAT,221411,5048496.0,5048496.0,1688720,0,0,5016,77748,59356,836,836,317318,0.6977574546669272
91,CALIFORNIA,CA,27,REPUBLICAN,95907,5048496.0,5048496.0,1688720,0,0,5016,77748,59356,836,836,317318,0.3022425453330728
92,CALIFORNIA,CA,28,DEMOCRAT,244271,3344498.0,3344498.0,1119080,0,0,3324,51522,39334,554,554,336199,0.7265667060282749
93,CALIFORNIA,CA,28,REPUBLICAN,91928,3344498.0,3344498.0,1119080,0,0,3324,51522,39334,554,554,336199,0.27343329397172506
94,CALIFORNIA,CA,29,DEMOCRAT,210944,5457448.0,5457448.0,1826080,0,0,5424,84072,64184,904,904,210944,1.0
95,CALIFORNIA,CA,30,DEMOCRAT,240038,2922204.0,2922204.0,977680,0,0,2904,45012,34364,484,484,345464,0.6948278257647685
96,CALIFORNIA,CA,30,REPUBLICAN,105426,2922204.0,2922204.0,977680,0,0,2904,45012,34364,484,484,345464,0.30517217423523146
97,CALIFORNIA,CA,31,DEMOCRAT,175315,7710170.0,7710170.0,2565400,0,0,7620,118110,90170,1270,1270,286050,0.6128823632232128
98,CALIFORNIA,CA,31,REPUBLICAN,110735,7710170.0,7710170.0,2565400,0,0,7620,118110,90170,1270,1270,286050,0.3871176367767873
99,CALIFORNIA,CA,32,DEMOCRAT,172942,5578188.0,5578188.0,1866480,0,0,5544,85932,65604,924,924,259760,0.6657761010163228
100,CALIFORNIA,CA,32,REPUBLICAN,86818,5578188.0,5578188.0,1866480,0,0,5544,85932,65604,924,924,259760,0.3342238989836772
101,CALIFORNIA,CA,33,DEMOCRAT,257094,3272054.0,3272054.0,1094840,0,0,3252,50406,38482,542,542,380428,0.6758019914412189
102,CALIFORNIA,CA,33,REPUBLICAN,123334,3272054.0,3272054.0,1094840,0,0,3252,50406,38482,542,542,380428,0.32419800855878117
103,CALIFORNIA,CA,34,DEMOCRAT,205346,4225900.0,4225900.0,1414000,0,0,4200,65100,49700,700,700,205346,1.0
104,CALIFORNIA,CA,35,DEMOCRAT,169405,4378366.0,4378366.0,1458440,0,0,4332,67146,51262,722,722,244346,0.6932996652288149
105,CALIFORNIA,CA,35,REPUBLICAN,74941,4378366.0,4378366.0,1458440,0,0,4332,67146,51262,722,722,244346,0.30670033477118513
106,CALIFORNIA,CA,36,DEMOCRAT,185151,4306150.0,4306150.0,1434200,0,0,4260,66030,50410,710,710,306849,0.6033945034854277
107,CALIFORNIA,CA,36,REPUBLICAN,121698,4306150.0,4306150.0,1434200,0,0,4260,66030,50410,710,710,306849,0.39660549651457233
108,CALIFORNIA,CA,37,DEMOCRAT,254916,3103018.0,3103018.0,1038280,0,0,3084,47802,36494,514,514,296621,0.8593997053479019
109,CALIFORNIA,CA,37,REPUBLICAN,41705,3103018.0,3103018.0,1038280,0,0,3084,47802,36494,514,514,296621,0.14060029465209814
110,CALIFORNIA,CA,38,DEMOCRAT,256206,9346068.0,9346068.0,3126960,0,0,9288,143964,109908,1548,1548,256206,1.0
111,CALIFORNIA,CA,39,DEMOCRAT,169837,4867812.0,4867812.0,1624080,0,0,4824,74772,57084,804,804,343783,0.49402384643801467
112,CALIFORNIA,CA,39,REPUBLICAN,173946,4867812.0,4867812.0,1624080,0,0,4824,74772,57084,804,804,343783,0.5059761535619853
113,CALIFORNIA,CA,40,DEMOCRAT,135572,2837390.0,2837390.0,949400,0,0,2820,43710,33370,470,470,186381,0.7273917405744148
114,CALIFORNIA,CA,40,REPUBLICAN,50809,2837390.0,2837390.0,949400,0,0,2820,43710,33370,470,470,186381,0.27260825942558525
115,CALIFORNIA,CA,41,DEMOCRAT,168126,2025710.0,2025710.0,674680,0,0,2004,31062,23714,334,334,262573,0.6403019350809108
116,CALIFORNIA,CA,41,REPUBLICAN,94447,2025710.0,2025710.0,674680,0,0,2004,31062,23714,334,334,262573,0.3596980649190892
117,CALIFORNIA,CA,42,DEMOCRAT,157773,3857340.0,3857340.0,1284720,0,0,3816,59148,45156,636,636,368047,0.4286762288512065
118,CALIFORNIA,CA,42,REPUBLICAN,210274,3857340.0,3857340.0,1284720,0,0,3816,59148,45156,636,636,368047,0.5713237711487935
119,CALIFORNIA,CA,43,DEMOCRAT,199210,3803310.0,3803310.0,1272600,0,0,3780,58590,44730,630,630,277898,0.7168457491597636
120,CALIFORNIA,CA,43,REPUBLICAN,78688,3803310.0,3803310.0,1272600,0,0,3780,58590,44730,630,630,277898,0.2831542508402363
121,CALIFORNIA,CA,44,DEMOCRAT,206036,7606620.0,7606620.0,2545200,0,0,7560,117180,89460,1260,1260,206036,1.0
122,CALIFORNIA,CA,45,DEMOCRAT,221843,6555838.0,6555838.0,2185640,0,0,6492,100626,76822,1082,1082,414939,0.534640031426306
123,CALIFORNIA,CA,45,REPUBLICAN,193096,6555838.0,6555838.0,2185640,0,0,6492,100626,76822,1082,1082,414939,0.46535996857369394
124,CALIFORNIA,CA,46,DEMOCRAT,157803,2884084.0,2884084.0,961520,0,0,2856,44268,33796,476,476,229519,0.6875378508968757
125,CALIFORNIA,CA,46,REPUBLICAN,71716,2884084.0,2884084.0,961520,0,0,2856,44268,33796,476,476,229519,0.31246214910312436
126,CALIFORNIA,CA,47,DEMOCRAT,197028,3858866.0,3858866.0,1288760,0,0,3828,59334,45298,638,638,311399,0.6327187948580438
127,CALIFORNIA,CA,47,REPUBLICAN,114371,3858866.0,3858866.0,1288760,0,0,3828,59334,45298,638,638,311399,0.3672812051419561
128,CALIFORNIA,CA,48,DEMOCRAT,193362,5634870.0,5634870.0,1878600,0,0,5580,86490,66030,930,930,395100,0.4894001518602885
129,CALIFORNIA,CA,48,REPUBLICAN,201738,5634870.0,5634870.0,1878600,0,0,5580,86490,66030,930,930,395100,0.5105998481397115
130,CALIFORNIA,CA,49,DEMOCRAT,205349,5911938.0,5911938.0,1967480,0,0,5844,90582,69154,974,974,386506,0.5312957625496111
131,CALIFORNIA,CA,49,REPUBLICAN,181157,5911938.0,5911938.0,1967480,0,0,5844,90582,69154,974,974,386506,0.46870423745038886
132,CALIFORNIA,CA,50,DEMOCRAT,166869,5829696.0,5829696.0,1939200,0,0,5760,89280,68160,960,960,362390,0.4604680040839979
133,CALIFORNIA,CA,50,REPUBLICAN,195521,5829696.0,5829696.0,1939200,0,0,5760,89280,68160,960,960,362390,0.5395319959160021
134,CALIFORNIA,CA,51,DEMOCRAT,165596,4339486.0,4339486.0,1450360,0,0,4308,66774,50978,718,718,242437,0.683047554622438
135,CALIFORNIA,CA,51,REPUBLICAN,76841,4339486.0,4339486.0,1450360,0,0,4308,66774,50978,718,718,242437,0.316952445377562
136,CALIFORNIA,CA,52,DEMOCRAT,244145,2332032.0,2332032.0,775680,0,0,2304,35712,27264,384,384,396495,0.6157580801775558
137,CALIFORNIA,CA,52,REPUBLICAN,152350,2332032.0,2332032.0,775680,0,0,2304,35712,27264,384,384,396495,0.38424191982244416
